date,open,high,low,close,volume,RSI
2017-05-25 19:00:00,1.12046,1.1214,1.12026,1.12108,6321.0298,45.85461689587433
2017-05-25 20:00:00,1.12108,1.12114,1.12037,1.12102,3189.02,50.95271700776201
2017-05-25 21:00:00,1.12101,1.1212,1.1207,1.12088,1371.4,55.925639039503224
2017-05-25 22:00:00,1.12091,1.12161,1.12075,1.12125,1822.23,47.65409383624561
2017-05-25 23:00:00,1.12125,1.12128,1.12077,1.121,1964.59,47.00544464609671
2017-05-26 00:00:00,1.12099,1.12122,1.11964,1.12057,4942.7402,53.237410071941824
2017-05-26 01:00:00,1.12057,1.12077,1.1187,1.11884,4584.29,48.63849765258165
2017-05-26 02:00:00,1.11885,1.11991,1.1185,1.1199,6977.1201,51.31578947368285
2017-05-26 03:00:00,1.1199,1.12056,1.11988,1.12011,4869.0898,52.13270142180016
2017-05-26 04:00:00,1.12012,1.12023,1.11971,1.12002,3253.3401,49.45054945054927
2017-05-26 05:00:00,1.12002,1.1204,1.11911,1.11948,3792.24,47.0383275261331
2017-05-26 06:00:00,1.11948,1.12129,1.11911,1.12112,11216.1201,56.19596541786688
2017-05-26 07:00:00,1.12112,1.12244,1.12077,1.12187,11862.7197,60.26143790849612
2017-05-26 08:00:00,1.12187,1.12346,1.12174,1.12238,12028.8799,62.173649058894966
2017-05-26 09:00:00,1.12238,1.12252,1.12112,1.12171,11628.8398,60.00585994726045
2017-05-26 10:00:00,1.12173,1.12269,1.12135,1.12218,10731.0898,59.192825112107585
2017-05-26 11:00:00,1.12217,1.12229,1.11907,1.11909,12853.2002,44.9795547478426
2017-05-26 12:00:00,1.11911,1.11999,1.11778,1.11801,15394.29,41.75893704523904
2017-05-26 13:00:00,1.11804,1.11811,1.11605,1.11675,16314.6602,42.963653308481
2017-05-26 14:00:00,1.11677,1.11874,1.11647,1.11848,15016.5498,44.7156628637126
2017-05-26 15:00:00,1.11849,1.11865,1.11659,1.11689,11160.9199,41.67147449105684
2017-05-26 16:00:00,1.11688,1.11796,1.11618,1.11772,8626.8301,42.77910549675585
2017-05-26 17:00:00,1.11772,1.11831,1.11756,1.11767,6844.2002,45.30540365186652
2017-05-26 18:00:00,1.11766,1.11779,1.11731,1.11762,4780.54,51.09699769052971
2017-05-26 19:00:00,1.11763,1.11785,1.11687,1.1171,5173.4502,49.85915492957623
2017-05-26 20:00:00,1.11709,1.1184,1.11676,1.11799,5025.4199,48.17569961034287
2017-05-28 20:00:00,1.11799,1.11799,1.11799,1.11799,0.0,41.362725450901635
2017-05-28 21:00:00,1.11701,1.11766,1.11672,1.11761,1081.79,40.64908722109472
2017-05-28 22:00:00,1.11763,1.11824,1.11756,1.11823,4239.7998,41.07933950865896
2017-05-28 23:00:00,1.11824,1.11849,1.11727,1.1176,2465.0601,41.1663807890223
2017-05-29 00:00:00,1.11758,1.11759,1.11618,1.11724,4159.0498,44.58293384467853
2017-05-29 01:00:00,1.11724,1.11733,1.11651,1.11671,3248.5601,53.26460481099628
2017-05-29 02:00:00,1.11671,1.11692,1.11633,1.11638,2921.6899,56.59229208924886
2017-05-29 03:00:00,1.11638,1.1165,1.11626,1.11645,2552.3601,57.05651254155259
2017-05-29 04:00:00,1.11645,1.1166,1.11623,1.11636,3809.9199,52.1061742642825
2017-05-29 05:00:00,1.11636,1.11731,1.11633,1.11653,3103.1101,58.766458766459664
2017-05-29 06:00:00,1.11653,1.1177,1.11652,1.11711,5666.8999,56.6852705653984
2017-05-29 07:00:00,1.11713,1.11821,1.11662,1.11789,7310.5601,56.29370629370915
2017-05-29 08:00:00,1.11786,1.11896,1.1177,1.11832,7917.1001,52.87356321839328
2017-05-29 09:00:00,1.11833,1.11883,1.11772,1.1187,6618.9302,53.88291517323922
2017-05-29 10:00:00,1.11871,1.11871,1.11808,1.11838,5727.79,51.57142857142768
2017-05-29 11:00:00,1.11838,1.11883,1.11832,1.11868,4974.8101,53.561643835615286
2017-05-29 12:00:00,1.1187,1.11898,1.11838,1.11848,6350.0098,53.87119274587155
2017-05-29 13:00:00,1.11848,1.11884,1.11697,1.11715,7761.52,44.83971044467357
2017-05-29 14:00:00,1.11716,1.11791,1.11672,1.11759,7370.7798,46.430080270384664
2017-05-29 15:00:00,1.1176,1.11829,1.1176,1.11796,5774.0298,45.190445448677586
2017-05-29 16:00:00,1.11796,1.1182,1.11735,1.11736,4034.8201,44.585987261145526
2017-05-29 17:00:00,1.11736,1.11765,1.11691,1.11706,4031.24,44.84304932735495
2017-05-29 18:00:00,1.11706,1.11712,1.11684,1.11705,2295.01,51.0308182784292
2017-05-29 19:00:00,1.11705,1.11731,1.11693,1.11714,3059.29,45.68462037637969
2017-05-29 20:00:00,1.11715,1.11721,1.11621,1.11624,4297.5801,44.20358152686109
2017-05-29 21:00:00,1.11623,1.11686,1.11508,1.11522,3152.4299,40.195900598585474
2017-05-29 22:00:00,1.11524,1.11531,1.1135,1.11384,4400.2598,33.04109589041067
2017-05-29 23:00:00,1.11384,1.11397,1.11277,1.1129,6283.4102,30.541871921183812
2017-05-30 00:00:00,1.11291,1.11376,1.11278,1.11335,5653.96,31.486880466473977
2017-05-30 01:00:00,1.11332,1.11335,1.1122,1.11235,5821.4102,29.643183897531486
2017-05-30 02:00:00,1.11236,1.11298,1.11223,1.11292,3741.1699,32.8384279475989
2017-05-30 03:00:00,1.11292,1.11307,1.11253,1.11253,2913.29,32.35800344234205
2017-05-30 04:00:00,1.11254,1.11291,1.11231,1.11275,2959.6299,32.436627004654696
2017-05-30 05:00:00,1.11275,1.1132,1.11155,1.1116,4522.9102,30.181818181814933
2017-05-30 06:00:00,1.11161,1.1131,1.11094,1.11307,10888.8301,41.81818181817833
2017-05-30 07:00:00,1.11311,1.1145,1.1127,1.11405,13015.1504,43.942992874106636
2017-05-30 08:00:00,1.11404,1.11491,1.11387,1.11399,11641.2695,44.83037156704129
2017-05-30 09:00:00,1.11401,1.11666,1.11366,1.11648,12215.7197,50.8341915550959
2017-05-30 10:00:00,1.11648,1.11684,1.11532,1.11539,10044.8799,53.552554315912055
2017-05-30 11:00:00,1.11538,1.11937,1.11462,1.1174,14072.2402,56.94200351493827
2017-05-30 12:00:00,1.11747,1.11761,1.11542,1.11624,13226.75,56.181723599791304
2017-05-30 13:00:00,1.11622,1.11917,1.11621,1.11906,13826.6602,62.18937794380389
2017-05-30 14:00:00,1.11915,1.12054,1.11748,1.11774,14227.2002,60.34672970843111
2017-05-30 15:00:00,1.11774,1.11895,1.11758,1.11823,9990.1797,60.45579567779912
2017-05-30 16:00:00,1.11826,1.11839,1.11718,1.11744,7703.73,61.031336771122454
2017-05-30 17:00:00,1.11747,1.11837,1.11743,1.11803,5655.3398,61.03133677112293
2017-05-30 18:00:00,1.11805,1.11899,1.11791,1.11884,4881.5098,57.730948296986156
2017-05-30 19:00:00,1.11884,1.11935,1.1184,1.11883,5260.5098,63.736523176202304
2017-05-30 20:00:00,1.11882,1.11966,1.11848,1.11856,5055.3901,67.5197999166324
2017-05-30 21:00:00,1.11854,1.11896,1.11788,1.11797,2514.21,67.98924008069909
2017-05-30 22:00:00,1.11798,1.11807,1.11729,1.11732,2896.71,69.27726013598621
2017-05-30 23:00:00,1.11735,1.11737,1.117,1.11728,2647.6201,69.20754716981116
2017-05-31 00:00:00,1.11728,1.11817,1.11693,1.11709,4536.0298,67.98579401319085
2017-05-31 01:00:00,1.11713,1.11798,1.11705,1.11748,4532.2402,66.95156695156575
2017-05-31 02:00:00,1.11749,1.11794,1.11705,1.11755,4333.6001,59.39323220536673
2017-05-31 03:00:00,1.11755,1.11785,1.11733,1.11763,2990.46,59.69115312454725
2017-05-31 04:00:00,1.11764,1.11783,1.11718,1.11726,2628.6799,44.437380801016495
2017-05-31 05:00:00,1.11727,1.11759,1.11645,1.11677,4237.0801,50.2516175413372
2017-05-31 06:00:00,1.11678,1.11897,1.11646,1.1188,9065.29,62.594594594592806
2017-05-31 07:00:00,1.11879,1.11969,1.11796,1.11848,12059.9297,66.24713958809879
2017-05-31 08:00:00,1.11847,1.11855,1.11699,1.11742,10042.0303,62.264150943393894
2017-05-31 09:00:00,1.11745,1.11924,1.11715,1.11904,9812.9199,67.21311475409588
2017-05-31 10:00:00,1.11905,1.12181,1.1185,1.12128,10678.04,70.41156840934198
2017-05-31 11:00:00,1.12126,1.12285,1.12125,1.12215,11084.1504,68.86848694407814
2017-05-31 12:00:00,1.12216,1.1225,1.1211,1.12221,10837.7598,66.81108047787706
2017-05-31 13:00:00,1.12222,1.12417,1.12174,1.12333,13035.1104,69.08491343775519
